A0A075B6H9	Immunoglobulin lambda variable 4-69
Q9H579	Protein MROH8
Q9H582	Zinc finger protein 644
Q9H583	HEAT repeat-containing protein 1
Q9H596	Dual specificity protein phosphatase 21
Q9H598	Vesicular inhibitory amino acid transporter
Q9H5F2	UPF0686 protein C11orf1
Q9H5H4	Zinc finger protein 768
Q9H5I1	Histone-lysine N-methyltransferase SUV39H2
Q9H5I5	Piezo-type mechanosensitive ion channel component 2
Q9H5J0	Zinc finger and BTB domain-containing protein 3
Q9H5J4	Elongation of very long chain fatty acids protein 6
Q9H5J8	TATA box-binding protein-associated factor RNA polymerase I subunit D
Q9H5K3	Protein O-mannose kinase
Q9H5L6	DNA transposase THAP9
Q9H5L9	Putative uncharacterized protein C5orf66
Q9H5N1	Rab GTPase-binding effector protein 2
Q9H5P4	PDZ domain-containing protein 7
Q9H5Q4	Dimethyladenosine transferase 2, mitochondrial
Q9H5U6	Zinc finger CCHC domain-containing protein 4
Q9H5V7	Zinc finger protein Pegasus
Q9H5V8	CUB domain-containing protein 1
Q9H5V9	UPF0428 protein CXorf56
Q9H5X1	MIP18 family protein FAM96A
Q9H5Y7	SLIT and NTRK-like protein 6
Q9H5Z1	Probable ATP-dependent RNA helicase DHX35
Q9H5Z6	Protein FAM124B
Q9H606	Proline-rich protein, Y-linked
Q9H607	Occludin/ELL domain-containing protein 1
Q9H609	Zinc finger protein 576
Q9H611	ATP-dependent DNA helicase PIF1
Q9H628	Ras-related and estrogen-regulated growth inhibitor-like protein
Q9H633	Ribonuclease P protein subunit p21
Q9H649	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial
Q9H665	IGF-like family receptor 1
Q9H668	CST complex subunit STN1
Q9H672	Ankyrin repeat and SOCS box protein 7
Q9H693	Uncharacterized protein C16orf95
Q9H694	Protein bicaudal C homolog 1
Q9H6A0	DENN domain-containing protein 2D
Q9H6A9	Pecanex-like protein 3
Q9H6B1	Zinc finger protein 385D
Q9H6B4	CXADR-like membrane protein
Q9H6B9	Epoxide hydrolase 3
Q9H6D3	XK-related protein 8
Q9H6D7	HAUS augmin-like complex subunit 4
Q9H6D8	Fibronectin type III domain-containing protein 4
Q9H6E4	Coiled-coil domain-containing protein 134
Q9H6E5	Speckle targeted PIP5K1A-regulated poly(A) polymerase
Q9H6F2	Trimeric intracellular cation channel type A
Q9H6F5	Coiled-coil domain-containing protein 86
Q9H6H4	Receptor expression-enhancing protein 4
Q9H6I2	Transcription factor SOX-17
Q9H6J7	UPF0705 protein C11orf49
Q9H6K1	Uncharacterized protein C6orf106
Q9H6K4	Optic atrophy 3 protein
Q9H6K5	Proline-rich protein 36
Q9H6L2	Transmembrane protein 231
Q9H6L4	Armadillo repeat-containing protein 7
Q9H6L5	Reticulophagy regulator 1
Q9H6N6	Putative uncharacterized protein MYH16
Q9H6P5	Threonine aspartase 1
Q9H6Q3	Src-like-adapter 2
Q9H6Q4	Cytosolic Fe-S cluster assembly factor NARFL
Q9H6R0	ATP-dependent RNA helicase DHX33
Q9H6R3	Acyl-CoA synthetase short-chain family member 3, mitochondrial
Q9H6R4	Nucleolar protein 6
Q9H6R6	Palmitoyltransferase ZDHHC6
Q9H6R7	WD repeat and coiled-coil-containing protein
Q9H6S0	3'-5' RNA helicase YTHDC2
Q9H6S1	5-azacytidine-induced protein 2
Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2
Q9H6T0	Epithelial splicing regulatory protein 2
Q9H6T3	RNA polymerase II-associated protein 3
Q9H6U6	Breast carcinoma-amplified sequence 3
Q9H6U8	Alpha-1,2-mannosyltransferase ALG9
Q9H6V9	Lipid droplet-associated hydrolase
Q9H6W3	Ribosomal oxygenase 1
Q9H6X2	Anthrax toxin receptor 1
Q9H6X4	Transmembrane protein 134
Q9H6X5	Uncharacterized protein C19orf44
Q9H6Y2	WD repeat-containing protein 55
Q9H6Y5	PDZ domain-containing protein MAGIX
Q9H6Y7	E3 ubiquitin-protein ligase RNF167
Q9H6Z4	Ran-binding protein 3
Q9H6Z9	Egl nine homolog 3
Q9H706	GRB2-associated and regulator of MAPK protein 1
Q9H707	Zinc finger protein 552
Q9H714	Protein RUBCNL-like
Q9H720	PGAP2-interacting protein
Q9H741	UPF0454 protein C12orf49
Q9H756	Leucine-rich repeat-containing protein 19
Q9H765	Ankyrin repeat and SOCS box protein 8
Q9H772	Gremlin-2
Q9H773	dCTP pyrophosphatase 1
Q9H777	Zinc phosphodiesterase ELAC protein 1
Q9H788	SH2 domain-containing protein 4A
Q9H790	Exonuclease V
Q9H792	Inactive tyrosine-protein kinase PEAK1
Q9H799	Protein JBTS17
Q9H7B2	Ribosome production factor 2 homolog
Q9H7B4	Histone-lysine N-methyltransferase SMYD3
Q9H7B7	Uncharacterized protein C7orf69
Q9H7C4	Syncoilin
Q9H7C9	Mth938 domain-containing protein
Q9H7D0	Dedicator of cytokinesis protein 5
Q9H7D7	WD repeat-containing protein 26
Q9H7E2	Tudor domain-containing protein 3
Q9H7E9	UPF0488 protein C8orf33
Q9H7F0	Probable cation-transporting ATPase 13A3
Q9H7F4	Transmembrane protein 185B
Q9H7H0	Methyltransferase-like protein 17, mitochondrial
Q9H7J1	Protein phosphatase 1 regulatory subunit 3E
Q9H7L2	Putative killer cell immunoglobulin-like receptor-like protein KIR3DX1
Q9H7L9	Sin3 histone deacetylase corepressor complex component SDS3
Q9H7M6	Zinc finger SWIM domain-containing protein 4
Q9H7M9	V-type immunoglobulin domain-containing suppressor of T-cell activation
Q9H7N4	Splicing factor, arginine/serine-rich 19
Q9H7P6	Multivesicular body subunit 12B
Q9H7P9	Pleckstrin homology domain-containing family G member 2
Q9H7R0	Zinc finger protein 442
Q9H7R5	Zinc finger protein 665
Q9H7S9	Zinc finger protein 703
Q9H7T0	Cation channel sperm-associated protein subunit beta
Q9H7T3	Uncharacterized protein C10orf95
Q9H7T9	Aurora kinase A and ninein-interacting protein
Q9H7U1	Serine-rich coiled-coil domain-containing protein 2
Q9H7V2	Synapse differentiation-inducing gene protein 1
Q9H7X0	N-alpha-acetyltransferase 60
Q9H7X2	Uncharacterized protein C1orf115
Q9H7X3	Zinc finger protein 696
Q9H7X7	Intraflagellar transport protein 22 homolog
Q9H7Y0	Deleted in autism-related protein 1
Q9H7Z3	Protein NRDE2 homolog
Q9H7Z6	Histone acetyltransferase KAT8
Q9H7Z7	Prostaglandin E synthase 2
Q9H808	Transducin-like enhancer protein 6
Q9H813	Transmembrane protein 206
Q9H814	Phosphorylated adapter RNA export protein
Q9H816	5' exonuclease Apollo
Q9H819	DnaJ homolog subfamily C member 18
Q9H825	Methyltransferase-like protein 8
Q9H832	Ubiquitin-conjugating enzyme E2 Z
Q9H840	Gem-associated protein 7
Q9H841	NIPA-like protein 2
Q9H845	Acyl-CoA dehydrogenase family member 9, mitochondrial
Q9H853	Putative tubulin-like protein alpha-4B
Q9H857	5'-nucleotidase domain-containing protein 2
Q9H867	Protein-lysine methyltransferase METTL21D
Q9H869	YY1-associated protein 1
Q9H871	Protein RMD5 homolog A
Q9H875	PRKR-interacting protein 1
Q9H892	Tetratricopeptide repeat protein 12
Q9H898	Zinc finger matrin-type protein 4
Q9H8E8	Cysteine-rich protein 2-binding protein
Q9H8G1	Zinc finger protein 430
Q9H8G2	Caspase activity and apoptosis inhibitor 1
Q9H8H0	Nucleolar protein 11
Q9H8H2	Probable ATP-dependent RNA helicase DDX31
Q9H8H3	Methyltransferase-like protein 7A
Q9H8J5	MANSC domain-containing protein 1
Q9H8K7	Uncharacterized protein C10orf88
Q9H8L6	Multimerin-2
Q9H8M1	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial
Q9H8M2	Bromodomain-containing protein 9
Q9H8M5	Metal transporter CNNM2
Q9H8M7	Ubiquitin carboxyl-terminal hydrolase MINDY-3
Q9H8M9	Protein eva-1 homolog A
Q9H8N7	Zinc finger protein 395
Q9H8P0	Polyprenol reductase
Q9H8Q6	Putative uncharacterized protein encoded by HEXA-AS1
Q9H8S5	Cyclin N-terminal domain-containing protein 2
Q9H8S9	MOB kinase activator 1A
Q9H8T0	AKT-interacting protein
Q9H8U3	AN1-type zinc finger protein 3
Q9H8V3	Protein ECT2
Q9H8V8	Putative uncharacterized protein FLJ13197
Q9H8W2	Putative uncharacterized protein encoded by LINC00472
Q9H8W3	Protein FAM204A
Q9H8W4	Pleckstrin homology domain-containing family F member 2
Q9H8W5	Tripartite motif-containing protein 45
Q9H8X2	Inositol-pentakisphosphate 2-kinase
Q9H8X3	Putative uncharacterized protein LINC00574
Q9H8X9	Probable palmitoyltransferase ZDHHC11
Q9H8Y1	Vertnin
Q9H8Y5	Ankyrin repeat and zinc finger domain-containing protein 1
Q9H8Y8	Golgi reassembly-stacking protein 2
Q9H900	Protein zwilch homolog
Q9H902	Receptor expression-enhancing protein 1
Q9H903	Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2
Q9H910	Jupiter microtubule associated homolog 2
Q9H920	RING finger protein 121
Q9H930	Nuclear body protein SP140-like protein
Q9H936	Mitochondrial glutamate carrier 1
Q9H939	Proline-serine-threonine phosphatase-interacting protein 2
Q9H944	Mediator of RNA polymerase II transcription subunit 20
Q9H963	Putative zinc finger protein 702
Q9H967	WD repeat-containing protein 76
Q9H972	Uncharacterized protein C14orf93
Q9H974	Queuine tRNA-ribosyltransferase accessory subunit 2
Q9H977	WD repeat-containing protein 54
Q9H981	Actin-related protein 8
Q9H987	Synaptopodin 2-like protein
Q9H992	E3 ubiquitin-protein ligase MARCH7
Q9H993	Protein-glutamate O-methyltransferase
Q9H999	Pantothenate kinase 3
Q9H9A5	CCR4-NOT transcription complex subunit 10
Q9H9A6	Leucine-rich repeat-containing protein 40
Q9H9A7	RecQ-mediated genome instability protein 1
Q9H9B1	Histone-lysine N-methyltransferase EHMT1
Q9H9B4	Sideroflexin-1
Q9H9C1	Spermatogenesis-defective protein 39 homolog
Q9H9D4	Zinc finger protein 408
Q9H9E1	Ankyrin repeat family A protein 2
Q9H9E3	Conserved oligomeric Golgi complex subunit 4
Q9H9F9	Actin-related protein 5
Q9H9G7	Protein argonaute-3
Q9H9H4	Vacuolar protein sorting-associated protein 37B
Q9H9H5	MAP6 domain-containing protein 1
Q9H9J2	39S ribosomal protein L44, mitochondrial
Q9H9J4	Ubiquitin carboxyl-terminal hydrolase 42
Q9H9K5	Endogenous retroviral envelope protein HEMO
Q9H9L3	Interferon-stimulated 20 kDa exonuclease-like 2
Q9H9L4	KAT8 regulatory NSL complex subunit 2
Q9H9L7	Akirin-1
Q9H9P2	Chondrolectin
Q9H9P5	Putative E3 ubiquitin-protein ligase UNKL
Q9H9P8	L-2-hydroxyglutarate dehydrogenase, mitochondrial
Q9H9Q2	COP9 signalosome complex subunit 7b
Q9H9Q4	Non-homologous end-joining factor 1
Q9H9R9	Dysbindin domain-containing protein 1
Q9H9S0	Homeobox protein NANOG
Q9H9S3	Protein transport protein Sec61 subunit alpha isoform 2
Q9H9S4	Calcium-binding protein 39-like
Q9H9S5	Fukutin-related protein
Q9H9T3	Elongator complex protein 3
Q9H9V4	RING finger protein 122
Q9H9V9	JmjC domain-containing protein 4
Q9H9Y2	Ribosome production factor 1
Q9H9Y4	GPN-loop GTPase 2
Q9H9Y6	DNA-directed RNA polymerase I subunit RPA2
Q9H9Z2	Protein lin-28 homolog A
Q9HA38	Zinc finger matrin-type protein 3
Q9HA47	Uridine-cytidine kinase 1
Q9HA64	Ketosamine-3-kinase
Q9HA65	TBC1 domain family member 17
Q9HA72	Calcium homeostasis modulator protein 2
Q9HA77	Probable cysteine--tRNA ligase, mitochondrial
Q9HA82	Ceramide synthase 4
Q9HA90	EF-hand and coiled-coil domain-containing protein 1
Q9HA92	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial
Q9HAA7	Putative uncharacterized protein FLJ11871
Q9HAB3	Solute carrier family 52, riboflavin transporter, member 2
Q9HAB8	Phosphopantothenate--cysteine ligase
Q9HAC7	Succinate--hydroxymethylglutarate CoA-transferase
Q9HAC8	Ubiquitin domain-containing protein 1
Q9HAD4	WD repeat-containing protein 41
Q9HAE3	EF-hand calcium-binding domain-containing protein 1
Q9HAF1	Chromatin modification-related protein MEAF6
Q9HAH1	Zinc finger protein 556
Q9HAH7	Probable fibrosin-1
Q9HAI6	Uncharacterized protein CXorf21
Q9HAJ7	Histone deacetylase complex subunit SAP30L
Q9HAK2	Transcription factor COE2
Q9HAN9	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
Q9HAP2	MLX-interacting protein
Q9HAP6	Protein lin-7 homolog B
Q9HAQ2	Kinesin-like protein KIF9
Q9HAR2	Adhesion G protein-coupled receptor L3
Q9HAS0	Protein Njmu-R1
Q9HAS3	Solute carrier family 28 member 3
Q9HAT0	Ropporin-1A
Q9HAT1	Protein ERGIC-53-like
Q9HAT2	Sialate O-acetylesterase
Q9HAT8	E3 ubiquitin-protein ligase pellino homolog 2
Q9HAU0	Pleckstrin homology domain-containing family A member 5
Q9HAU4	E3 ubiquitin-protein ligase SMURF2
Q9HAU5	Regulator of nonsense transcripts 2
Q9HAU6	Putative translationally-controlled tumor protein-like protein TPT1P8
Q9HAU8	Aminopeptidase RNPEPL1
Q9HAV0	Guanine nucleotide-binding protein subunit beta-4
Q9HAV4	Exportin-5
Q9HAV5	Tumor necrosis factor receptor superfamily member 27
Q9HAV7	GrpE protein homolog 1, mitochondrial
Q9HAW0	Transcription factor IIIB 50 kDa subunit
Q9HAW4	Claspin
Q9HAW7	UDP-glucuronosyltransferase 1-7
Q9HAW8	UDP-glucuronosyltransferase 1-10
Q9HAW9	UDP-glucuronosyltransferase 1-8
Q9HAY2	Melanoma-associated antigen F1
Q9HAY6	Beta,beta-carotene 15,15'-dioxygenase
Q9HAZ1	Dual specificity protein kinase CLK4
Q9HAZ2	PR domain zinc finger protein 16
Q9HB03	Elongation of very long chain fatty acids protein 3
Q9HB07	UPF0160 protein MYG1, mitochondrial
Q9HB09	Bcl-2-like protein 12
Q9HB14	Potassium channel subfamily K member 13
Q9HB15	Potassium channel subfamily K member 12
Q9HB19	Pleckstrin homology domain-containing family A member 2
Q9HB20	Pleckstrin homology domain-containing family A member 3
Q9HB21	Pleckstrin homology domain-containing family A member 1
Q9HB29	Interleukin-1 receptor-like 2
Q9HB31	Homeobox protein SEBOX
Q9HB40	Retinoid-inducible serine carboxypeptidase
Q9HB55	Cytochrome P450 3A43
Q9HB58	Sp110 nuclear body protein
Q9HB63	Netrin-4
Q9HB65	RNA polymerase II elongation factor ELL3
Q9HB71	Calcyclin-binding protein
Q9HB75	p53-induced death domain-containing protein 1
Q9HB89	Neuromedin-U receptor 1
Q9HB90	Ras-related GTP-binding protein C
Q9HB96	Fanconi anemia group E protein
Q9HBA0	Transient receptor potential cation channel subfamily V member 4
Q9HBA9	Putative N-acetylated-alpha-linked acidic dipeptidase
Q9HBB8	Cadherin-related family member 5
Q9HBD1	Roquin-2
Q9HBE1	POZ-, AT hook-, and zinc finger-containing protein 1
Q9HBE4	Interleukin-21
Q9HBE5	Interleukin-21 receptor
Q9HBF4	Zinc finger FYVE domain-containing protein 1
Q9HBF5	Suppressor of tumorigenicity 20 protein
Q9HBG4	V-type proton ATPase 116 kDa subunit a isoform 4
Q9HBG6	Intraflagellar transport protein 122 homolog
Q9HBG7	T-lymphocyte surface antigen Ly-9
Q9HBH0	Rho-related GTP-binding protein RhoF
Q9HBH1	Peptide deformylase, mitochondrial
Q9HBH5	Retinol dehydrogenase 14
Q9HBH7	Protein BEX1
Q9HBH9	MAP kinase-interacting serine/threonine-protein kinase 2
Q9HBI0	Gamma-parvin
Q9HBI1	Beta-parvin
Q9HBI5	Uncharacterized protein C3orf14
Q9HBI6	Phylloquinone omega-hydroxylase CYP4F11
Q9HBJ0	Placenta-specific protein 1
Q9HBJ7	Ubiquitin carboxyl-terminal hydrolase 29
Q9HBJ8	Collectrin
Q9HBK9	Arsenite methyltransferase
Q9HBL0	Tensin-1
Q9HBL6	Leucine-rich repeat and transmembrane domain-containing protein 1
Q9HBL7	Plasminogen receptor (KT)
Q9HBL8	NmrA-like family domain-containing protein 1
Q9HBM0	Vezatin
Q9HBM1	Kinetochore protein Spc25
Q9HBM6	Transcription initiation factor TFIID subunit 9B
Q9HBQ8	Putative golgin subfamily A member 2B
Q9HBR0	Putative sodium-coupled neutral amino acid transporter 10
Q9HBT6	Cadherin-20
Q9HBT7	Zinc finger protein 287
Q9HBT8	Zinc finger protein 286A
Q9HBU1	Homeobox protein BarH-like 1
Q9HBU6	Ethanolamine kinase 1
Q9HBU9	Popeye domain-containing protein 2
Q9HBV1	Popeye domain-containing protein 3
Q9HBV2	Sperm acrosome membrane-associated protein 1
Q9HBW0	Lysophosphatidic acid receptor 2
Q9HBW1	Leucine-rich repeat-containing protein 4
Q9HBW9	Adhesion G protein-coupled receptor L4
Q9HBX3	Uncharacterized protein encoded by SND1-IT1
Q9HBX8	Leucine-rich repeat-containing G-protein coupled receptor 6
Q9HBX9	Relaxin receptor 1
Q9HBY0	NADPH oxidase 3
Q9HBY8	Serine/threonine-protein kinase Sgk2
Q9HBZ2	Aryl hydrocarbon receptor nuclear translocator 2
Q9HC07	Transmembrane protein 165
Q9HC10	Otoferlin
Q9HC16	DNA dC->dU-editing enzyme APOBEC-3G
Q9HC21	Mitochondrial thiamine pyrophosphate carrier
Q9HC23	Prokineticin-2
Q9HC24	Protein lifeguard 4
Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2
Q9HC35	Echinoderm microtubule-associated protein-like 4
Q9HC36	rRNA methyltransferase 3, mitochondrial
Q9HC38	Glyoxalase domain-containing protein 4
Q9HC44	Vasculin-like protein 1
Q9HC52	Chromobox protein homolog 8
Q9HC56	Protocadherin-9
Q9HC57	WAP four-disulfide core domain protein 1
Q9HC58	Sodium/potassium/calcium exchanger 3
Q9HC62	Sentrin-specific protease 2
Q9HC73	Cytokine receptor-like factor 2
Q9HC77	Centromere protein J
Q9HC78	Zinc finger and BTB domain-containing protein 20
Q9HC84	Mucin-5B
Q9HC96	Calpain-10
Q9HC97	G-protein coupled receptor 35
Q9HC98	Serine/threonine-protein kinase Nek6
Q9HCB6	Spondin-1
Q9HCC0	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
Q9HCC6	Transcription factor HES-4
Q9HCC8	Glycerophosphoinositol inositolphosphodiesterase GDPD2
Q9HCC9	Lateral signaling target protein 2 homolog
Q9HCD5	Nuclear receptor coactivator 5
Q9HCD6	Protein TANC2
Q9HCE0	Ectopic P granules protein 5 homolog
Q9HCE1	Putative helicase MOV-10
Q9HCE3	Zinc finger protein 532
Q9HCE5	N6-adenosine-methyltransferase non-catalytic subunit
Q9HCE6	Rho guanine nucleotide exchange factor 10-like protein
Q9HCE7	E3 ubiquitin-protein ligase SMURF1
Q9HCE9	Anoctamin-8
Q9HCF6	Transient receptor potential cation channel subfamily M member 3
Q9HCG1	Zinc finger protein 160
Q9HCG7	Non-lysosomal glucosylceramidase
Q9HCG8	Pre-mRNA-splicing factor CWC22 homolog
Q9HCH0	Nck-associated protein 5-like
Q9HCH3	Copine-5
Q9HCH5	Synaptotagmin-like protein 2
Q9HCI5	Melanoma-associated antigen E1
Q9HCI6	E3 SUMO-protein ligase KIAA1586
Q9HCI7	E3 ubiquitin-protein ligase MSL2
Q9HCJ0	Trinucleotide repeat-containing gene 6C protein
Q9HCJ1	Progressive ankylosis protein homolog
Q9HCJ2	Leucine-rich repeat-containing protein 4C
Q9HCJ3	Ribonucleoprotein PTB-binding 2
Q9HCJ5	Zinc finger SWIM domain-containing protein 6
Q9HCJ6	Synaptic vesicle membrane protein VAT-1 homolog-like
Q9HCK0	Zinc finger and BTB domain-containing protein 26
Q9HCK1	DBF4-type zinc finger-containing protein 2
Q9HCK4	Roundabout homolog 2
Q9HCK5	Protein argonaute-4
Q9HCK8	Chromodomain-helicase-DNA-binding protein 8
Q9HCL0	Protocadherin-18
Q9HCL2	Glycerol-3-phosphate acyltransferase 1, mitochondrial
Q9HCL3	Zinc finger protein 14 homolog
Q9HCM1	Uncharacterized protein KIAA1551
Q9HCM2	Plexin-A4
Q9HCM3	UPF0606 protein KIAA1549
Q9HCM4	Band 4.1-like protein 5
Q9HCM7	Fibrosin-1-like protein
Q9HCM9	E3 ubiquitin-protein ligase TRIM39
Q9HCN2	p53-regulated apoptosis-inducing protein 1
Q9HCN3	Post-GPI attachment to proteins factor 6
Q9HCN4	GPN-loop GTPase 1
Q9HCN6	Platelet glycoprotein VI
Q9HCN8	Stromal cell-derived factor 2-like protein 1
Q9HCP0	Casein kinase I isoform gamma-1
Q9HCP6	Protein-cysteine N-palmitoyltransferase HHAT-like protein
Q9HCQ5	Polypeptide N-acetylgalactosaminyltransferase 9
Q9HCQ7	Pro-FMRFamide-related neuropeptide VF
Q9HCR9	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A
Q9HCS2	Cytochrome P450 4F12
Q9HCS4	Transcription factor 7-like 1
Q9HCS5	Band 4.1-like protein 4A
Q9HCS7	Pre-mRNA-splicing factor SYF1
Q9HCT0	Fibroblast growth factor 22
Q9HCU0	Endosialin
Q9HCU4	Cadherin EGF LAG seven-pass G-type receptor 2
Q9HCU5	Prolactin regulatory element-binding protein
Q9HCU8	DNA polymerase delta subunit 4
Q9HCU9	Breast cancer metastasis-suppressor 1
Q9HCX3	Zinc finger protein 304
Q9HCX4	Short transient receptor potential channel 7
Q9HCY8	Protein S100-A14
Q9HCZ1	Zinc finger protein 334
Q9HD15	Steroid receptor RNA activator 1
Q9HD20	Manganese-transporting ATPase 13A1
Q9HD23	Magnesium transporter MRS2 homolog, mitochondrial
Q9HD26	Golgi-associated PDZ and coiled-coil motif-containing protein
Q9HD33	39S ribosomal protein L47, mitochondrial
Q9HD34	LYR motif-containing protein 4
Q9HD36	Bcl-2-like protein 10
Q9HD40	O-phosphoseryl-tRNA(Sec) selenium transferase
Q9HD42	Charged multivesicular body protein 1a
Q9HD43	Receptor-type tyrosine-protein phosphatase H
Q9HD45	Transmembrane 9 superfamily member 3
Q9HD47	Ran guanine nucleotide release factor
Q9HD64	X antigen family member 1
Q9HD67	Unconventional myosin-X
Q9HD87	Putative uncharacterized protein C6orf50
Q9HD89	Resistin
Q9HD90	Neurogenic differentiation factor 4
Q9HDB9	Endogenous retrovirus group K member 5 Gag polyprotein
Q9HDC5	Junctophilin-1
Q9HDC9	Adipocyte plasma membrane-associated protein
Q9HDD0	Phospholipid-metabolizing enzyme A-C1
Q9N2J8	HERV-H_2q24.1 provirus ancestral Env polyprotein
Q9N2K0	HERV-H_2q24.3 provirus ancestral Env polyprotein
Q9NNW5	WD repeat-containing protein 6
Q9NNW7	Thioredoxin reductase 2, mitochondrial
Q9NNX1	Tuftelin
Q9NNX6	CD209 antigen
Q9NNX9	Variable charge X-linked protein 3
Q9NNZ3	DnaJ homolog subfamily C member 4
Q9NNZ6	Protamine-3
Q9NP08	Homeobox protein HMX1
Q9NP31	SH2 domain-containing protein 2A
Q9NP50	SIN3-HDAC complex-associated factor
Q9NP55	BPI fold-containing family A member 1
Q9NP56	cAMP-specific 3',5'-cyclic phosphodiesterase 7B
Q9NP58	ATP-binding cassette sub-family B member 6, mitochondrial
Q9NP59	Solute carrier family 40 member 1
Q9NP60	X-linked interleukin-1 receptor accessory protein-like 2
Q9NP61	ADP-ribosylation factor GTPase-activating protein 3
Q9NP62	Chorion-specific transcription factor GCMa
Q9NP64	Nucleolar protein of 40 kDa
Q9NP66	High mobility group protein 20A
Q9NP70	Ameloblastin
Q9NP71	Carbohydrate-responsive element-binding protein
Q9NP72	Ras-related protein Rab-18
Q9NP73	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13
Q9NP74	Palmdelphin
Q9NP77	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
Q9NP78	ATP-binding cassette sub-family B member 9
Q9NP79	Vacuolar protein sorting-associated protein VTA1 homolog
Q9NP80	Calcium-independent phospholipase A2-gamma
Q9NP81	Serine--tRNA ligase, mitochondrial
Q9NP84	Tumor necrosis factor receptor superfamily member 12A
Q9NP85	Podocin
Q9NP86	Calcium-binding protein 5
Q9NP87	DNA-directed DNA/RNA polymerase mu
Q9NP90	Ras-related protein Rab-9B
Q9NP91	Sodium- and chloride-dependent transporter XTRP3
Q9NP92	39S ribosomal protein S30, mitochondrial
Q9NP94	Zinc transporter ZIP2
Q9NP95	Fibroblast growth factor 20
Q9NP97	Dynein light chain roadblock-type 1
Q9NP98	Myozenin-1
Q9NP99	Triggering receptor expressed on myeloid cells 1
Q9NPA0	ER membrane protein complex subunit 7
Q9NPA1	Calcium-activated potassium channel subunit beta-3
Q9NPA2	Matrix metalloproteinase-25
Q9NPA3	Mid1-interacting protein 1
Q9NPA5	Zinc finger protein 64 homolog, isoforms 1 and 2
Q9NPA8	Transcription and mRNA export factor ENY2
Q9NPB0	SAYSvFN domain-containing protein 1
Q9NPB1	5'(3')-deoxyribonucleotidase, mitochondrial
Q9NPB3	Calcium-binding protein 2
Q9NPB6	Partitioning defective 6 homolog alpha
Q9NPB8	Glycerophosphocholine phosphodiesterase GPCPD1
Q9NPB9	Atypical chemokine receptor 4
Q9NPC1	Leukotriene B4 receptor 2
Q9NPC2	Potassium channel subfamily K member 9
Q9NPC3	E3 ubiquitin-protein ligase CCNB1IP1
Q9NPC4	Lactosylceramide 4-alpha-galactosyltransferase
Q9NPC6	Myozenin-2
Q9NPC7	Myoneurin
Q9NPC8	Homeobox protein SIX2
Q9NPD3	Exosome complex component RRP41
Q9NPD5	Solute carrier organic anion transporter family member 1B3
Q9NPD7	Neuritin
Q9NPD8	Ubiquitin-conjugating enzyme E2 T
Q9NPE2	Neugrin
Q9NPE3	H/ACA ribonucleoprotein complex subunit 3
Q9NPE6	Sperm-associated antigen 4 protein
Q9NPF0	CD320 antigen
Q9NPF2	Carbohydrate sulfotransferase 11
Q9NPF4	Probable tRNA N6-adenosine threonylcarbamoyltransferase
Q9NPF5	DNA methyltransferase 1-associated protein 1
Q9NPF7	Interleukin-23 subunit alpha
Q9NPF8	Arf-GAP with dual PH domain-containing protein 2
Q9NPG1	Frizzled-3
Q9NPG2	Neuroglobin
Q9NPG3	Ubinuclein-1
Q9NPG4	Protocadherin-12
Q9NPG8	Probable palmitoyltransferase ZDHHC4
Q9NPH0	Lysophosphatidic acid phosphatase type 6
Q9NPH2	Inositol-3-phosphate synthase 1
Q9NPH3	Interleukin-1 receptor accessory protein
Q9NPH5	NADPH oxidase 4
Q9NPH6	Odorant-binding protein 2b
Q9NPH9	Interleukin-26
Q9NPI0	Transmembrane protein 138
Q9NPI1	Bromodomain-containing protein 7
Q9NPI5	Nicotinamide riboside kinase 2
Q9NPI6	mRNA-decapping enzyme 1A
Q9NPI7	Lysine-rich coiled-coil protein 1
Q9NPI8	Fanconi anemia group F protein
Q9NPI9	Inward rectifier potassium channel 16
Q9NPJ1	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin
Q9NPJ3	Acyl-coenzyme A thioesterase 13
Q9NPJ4	Proline-rich nuclear receptor coactivator 2
Q9NPJ6	Mediator of RNA polymerase II transcription subunit 4
Q9NPJ8	NTF2-related export protein 2
Q9NPL8	Complex I assembly factor TIMMDC1, mitochondrial
Q9NPP4	NLR family CARD domain-containing protein 4
Q9NPQ8	Synembryn-A
Q9NPR2	Semaphorin-4B
Q9NPR9	Protein GPR108
Q9NPU4	Uncharacterized protein C14orf132
Q9NPY3	Complement component C1q receptor
Q9NPZ5	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2
Q9NQ03	Transcriptional repressor scratch 2
Q9NQ11	Cation-transporting ATPase 13A2
Q9NQ25	SLAM family member 7
