Entry	Protein names	Gene names
Q07157	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1
Q9BR11	Zinc finger SWIM domain-containing protein 1	ZSWIM1 C20orf162
P0CG00	Putative zinc finger and SCAN domain-containing protein 5D (Zinc finger and SCAN domain-containing protein 5D pseudogene)	ZSCAN5DP ZSCAN5D
O43309	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	ZSCAN12 KIAA0426 ZNF305 ZNF96
Q9P217	Zinc finger SWIM domain-containing protein 5	ZSWIM5 KIAA1511
Q9H4T2	Zinc finger and SCAN domain-containing protein 16 (Zinc finger protein 392) (Zinc finger protein 435)	ZSCAN16 ZNF392 ZNF435
Q9UI72	Putative uncharacterized protein PRO0255	PRO0255
Q6UWF5	Putative uncharacterized protein UNQ5815/PRO19632	UNQ5815/PRO19632
Q8N7P7	Uncharacterized protein FLJ40521	
Q96NJ1	Uncharacterized protein FLJ30774	
Q9H379	Putative uncharacterized protein PRO3102	PRO3102
Q5PR19	Putative UPF0607 protein LOC392364	
A8MXE2	Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842 (EC 2.4.1.-) (Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC402377) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 pseudogene)	
A6XGL0	YjeF N-terminal domain-containing protein 3 (YjeF_N3) (hYjeF_N3)	YJEFN3
Q9UHU1	Putative uncharacterized protein PRO1716	PRO1716
Q3C1V9	Putative uncharacterized protein ENSP00000334305	
A6NHS1	Putative uncharacterized protein ENSP00000347057	
Q8TAT8	Putative uncharacterized protein LOC644613	
Q8N9W7	Putative transmembrane protein FLJ36131	
Q6ZTK2	Putative uncharacterized protein LOC400499	
O60688	Protein yippee-like 1	YPEL1 FKSG3
P61236	Protein yippee-like 3	YPEL3 FKSG5
A8MZ25	Putative uncharacterized protein FLJ38767	
Q6ZVQ6	Putative uncharacterized protein FLJ42213	
Q6UXR8	Putative uncharacterized protein UNQ6493/PRO21345	UNQ6493/PRO21345
Q6UXU0	Putative uncharacterized protein UNQ9165/PRO28630	UNQ9165/PRO28630
Q8WZ26	Putative uncharacterized protein PP6455	PP6455
Q8N3U1	Putative uncharacterized protein LOC400692	
Q6AW86	Zinc finger protein 324B	ZNF324B
Q6ZN79	Zinc finger protein 705A	ZNF705A
Q96LW1	Zinc finger protein 354B	ZNF354B
Q86Y25	Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3) (hKID3)	ZNF354C KID3
Q9NSJ1	Putative zinc finger protein 355P (Zinc finger protein ZnFP01)	ZNF355P ZNF834 PRED65
Q401N2	Zinc-activated ligand-gated ion channel (Ligand-gated ion channel zinc-activated 1) (Ligand-gated ion-channel receptor L2)	ZACN L2 LGICZ LGICZ1 ZAC
Q8WYQ9	Zinc finger CCHC domain-containing protein 14 (BDG-29)	ZCCHC14 KIAA0579
Q96BR9	Zinc finger and BTB domain-containing protein 8A (BTB/POZ and zinc-finger domain-containing factor) (BTB/POZ and zinc-finger domains factor on chromosome 1) (BOZ-F1)	ZBTB8A BOZF1
Q5W0Z9	Palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 20) (DHHC-20)	ZDHHC20
P37275	Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8)	ZEB1 AREB6 TCF8
Q9UPT8	Zinc finger CCCH domain-containing protein 4	ZC3H4 C19orf7 KIAA1064
P61129	Zinc finger CCCH domain-containing protein 6	ZC3H6 KIAA2035 ZC3HDC6
Q8WTX9	Probable palmitoyltransferase ZDHHC1 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 1) (Zinc finger DHHC domain-containing protein 1) (DHHC-1) (Zinc finger protein 377)	ZDHHC1 C16orf1 ZNF377
Q8NHY6	Zinc finger protein 28 homolog (Zfp-28) (Krueppel-like zinc finger factor X6)	ZFP28 KIAA1431
Q5T1R4	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3
Q8N8Y5	Zinc finger protein 41 homolog (Zfp-41)	ZFP41
P08048	Zinc finger Y-chromosomal protein	ZFY
Q96KR1	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR
Q7Z7L7	Protein zer-1 homolog (Hzyg) (Zyg-11 homolog B-like protein) (Zyg11b-like protein)	ZER1 C9orf60 ZYG ZYG11BL
Q9BQ24	Zinc finger FYVE domain-containing protein 21 (ZF21)	ZFYVE21
Q5T4F4	Protrudin (Spastic paraplegia 33 protein) (Zinc finger FYVE domain-containing protein 27)	ZFYVE27 SPG33
Q9H8U3	AN1-type zinc finger protein 3 (Testis-expressed protein 27)	ZFAND3 TEX27
A6NM28	Zinc finger protein 92 homolog (Zfp-92)	ZFP92
O60481	Zinc finger protein ZIC 3 (Zinc finger protein 203) (Zinc finger protein of the cerebellum 3)	ZIC3 ZNF203
Q9P243	Zinc finger protein ZFAT (Zinc finger gene in AITD susceptibility region) (Zinc finger protein 406)	ZFAT KIAA1485 ZFAT1 ZNF406
Q96EF9	Zinc fingers and homeoboxes protein 1, isoform 2 (ZHX1-C8orf76 readthrough transcript protein)	ZHX1-C8orf76 C8orf76
Q96PE6	Zinc finger imprinted 3 (Zinc finger protein 657)	ZIM3 ZNF657
P17029	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36
Q9ULJ6	Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)	ZMIZ1 KIAA1224 RAI17 ZIMP10
Q8NC26	Zinc finger protein 114	ZNF114
Q03924	Zinc finger protein 117 (Provirus-linked krueppel) (h-PLK) (Zinc finger protein HPF9)	ZNF117
P58317	Zinc finger protein 121 (Zinc finger protein 20)	ZNF121 ZNF20
Q15776	Zinc finger protein with KRAB and SCAN domains 8 (LD5-1) (Zinc finger protein 192)	ZKSCAN8 ZNF192
Q5H9K5	Zinc finger matrin-type protein 1	ZMAT1 KIAA1789
P52740	Zinc finger protein 132	ZNF132
P52741	Zinc finger protein 134	ZNF134
P52742	Zinc finger protein 135 (Zinc finger protein 61) (Zinc finger protein 78-like 1)	ZNF135 ZNF61 ZNF78L1
P52737	Zinc finger protein 136	ZNF136
Q9H0C1	Zinc finger MYND domain-containing protein 12	ZMYND12
Q9H091	Zinc finger MYND domain-containing protein 15	ZMYND15
Q96E35	Zinc finger MYND domain-containing protein 19 (Melanin-concentrating hormone receptor 1-interacting zinc finger protein) (MCH-R1-interacting zinc finger protein)	ZMYND19 MIZIP
O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ
Q9UBW7	Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198)	ZMYM2 FIM RAMP ZNF198
Q13398	Zinc finger protein 211 (Zinc finger protein C2H2-25)	ZNF211
Q14593	Zinc finger protein 273 (Zinc finger protein HZF9)	ZNF273
Q8N554	Zinc finger protein 276 (Zfp-276) (Zinc finger protein 477)	ZNF276 CENP-Z ZFP276 ZNF477
Q9NRM2	Zinc finger protein 277 (Nuclear receptor-interacting factor 4)	ZNF277 NRIF4 ZNF277P
Q9H2Y7	Zinc finger protein 106 (Zfp-106) (Zinc finger protein 474)	ZNF106 SH3BP3 ZFP106 ZNF474
Q96JL9	Zinc finger protein 333	ZNF333 KIAA1806
Q9Y473	Zinc finger protein 175 (Zinc finger protein OTK18)	ZNF175
Q9NYT6	Zinc finger protein 226	ZNF226
Q96NJ3	Zinc finger protein 285 (Zinc finger protein 285A)	ZNF285 ZNF285A
Q2M3W8	Zinc finger protein 181 (HHZ181)	ZNF181
Q9Y3M9	Zinc finger protein 337	ZNF337
A6NK53	Zinc finger protein 233	ZNF233
Q14590	Zinc finger protein 235 (Zinc finger protein 270) (Zinc finger protein 93 homolog) (Zfp-93) (Zinc finger protein HZF6)	ZNF235 ZFP93 ZNF270
Q8TD17	Zinc finger protein 398 (Zinc finger DNA-binding protein p52/p71)	ZNF398 KIAA1339 ZER6
Q9C0G0	Zinc finger protein 407	ZNF407 KIAA1703
Q9UL40	Zinc finger protein 346 (Just another zinc finger protein)	ZNF346 JAZ
A6NFI3	Zinc finger protein 316	ZNF316
Q96SE7	Zinc finger protein 347 (Zinc finger protein 1111)	ZNF347 ZNF1111
O75346	Zinc finger protein 253 (Bone marrow zinc finger 1) (BMZF-1) (Zinc finger protein 411)	ZNF253 BMZF1 ZNF411
O75437	Zinc finger protein 254 (Bone marrow zinc finger 5) (BMZF-5) (Hematopoietic cell-derived zinc finger protein 1) (HD-ZNF1) (Zinc finger protein 539) (Zinc finger protein 91-like)	ZNF254 BMZF5 ZNF539 ZNF91L
A2RRD8	Zinc finger protein 320	ZNF320
Q8N8H1	Putative protein ZNF321 (Zinc finger protein 321 pseudogene)	ZNF321P ZNF321
Q96PM5	RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING finger protein 199) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363) (p53-induced RING-H2 protein) (hPirh2)	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363
O14978	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZNF263 FPM315 ZKSCAN12
Q6UXR6	Putative uncharacterized protein UNQ6494/PRO21346	UNQ6494/PRO21346
Q6ZSN1	Putative uncharacterized protein FLJ45355	
Q9H354	Putative uncharacterized protein PRO1933	PRO1933
Q8N377	Putative uncharacterized protein LOC387726	
P0C879	Putative uncharacterized protein FLJ43185	
A1L4Q6	Putative uncharacterized protein FLJ41423	
Q8IYB0	Putative uncharacterized protein MGC39545	
Q6ZRX8	Putative uncharacterized protein FLJ45999	
Q92536	Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)	SLC7A6 KIAA0245
P49750	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	YLPM1 C14orf170 ZAP3
Q9H521	Putative uncharacterized protein LOC645739	
Q6ZQY7	Putative uncharacterized protein FLJ46792	
Q9UFV3	Putative uncharacterized protein DKFZp434L187	
Q8N6K4	Putative uncharacterized protein MGC34800	
Q6ZRG5	Putative uncharacterized protein FLJ43944	
Q96M85	Putative uncharacterized protein FLJ32756	
Q5BKY6	Putative uncharacterized protein DKFZp434K191	
Q8N402	Putative uncharacterized protein LOC388882	
Q49A33	Putative zinc finger protein 876	ZNF876P
Q569K4	Zinc finger protein 385B (Zinc finger protein 533)	ZNF385B ZNF533
Q9Y493	Zonadhesin	ZAN
Q86SH2	Zygote arrest protein 1 (Oocyte-specific maternal effect factor)	ZAR1
Q9ULJ3	Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295)	ZBTB21 KIAA1227 ZNF295
Q8IZ13	Protein ZBED8 (Transposon-derived Buster3 transposase-like protein) (Zinc finger BED domain-containing protein 8)	ZBED8 Buster3 C5orf54
Q8N680	Zinc finger and BTB domain-containing protein 2	ZBTB2 KIAA1483 ZNF437
P24278	Zinc finger and BTB domain-containing protein 25 (Zinc finger protein 46) (Zinc finger protein KUP)	ZBTB25 C14orf51 KUP ZNF46
Q9HCK0	Zinc finger and BTB domain-containing protein 26 (Zinc finger protein 481) (Zinc finger protein Bioref)	ZBTB26 KIAA1572 ZNF481
Q9Y2Y4	Zinc finger and BTB domain-containing protein 32 (FANCC-interacting protein) (Fanconi anemia zinc finger protein) (Testis zinc finger protein) (Zinc finger protein 538)	ZBTB32 FAZF TZFP ZNF538
Q5TC79	Zinc finger and BTB domain-containing protein 37	ZBTB37
Q8NAP3	Zinc finger and BTB domain-containing protein 38	ZBTB38
Q9NUA8	Zinc finger and BTB domain-containing protein 40	ZBTB40 KIAA0478
O75152	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A
A0A1B0GTU1	Zinc finger CCCH domain-containing protein 11B	ZC3H11B ZC3HDC11B
O43298	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)	ZBTB43 KIAA0414 ZBTB22B ZNF297B
Q8NCP5	Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)	ZBTB44 BTBD15 ZNF851
Q9HCK1	DBF4-type zinc finger-containing protein 2	ZDBF2 KIAA1571
Q96GR4	Probable palmitoyltransferase ZDHHC12 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 12) (DHHC-12) (Zinc finger protein 400)	ZDHHC12 ZNF400 PSEC0008
Q8NET8	Transient receptor potential cation channel subfamily V member 3 (TrpV3) (Vanilloid receptor-like 3) (VRL-3)	TRPV3
Q9HBA0	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Transient receptor potential protein 12) (TRP12) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) (VRL-2) (Vanilloid receptor-related osmotically-activated channel) (VR-OAC)	TRPV4 VRL2 VROAC
Q8TD43	Transient receptor potential cation channel subfamily M member 4 (hTRPM4) (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (Melastatin-4)	TRPM4 LTRPC4
Q7RTX0	Taste receptor type 1 member 3 (Sweet taste receptor T1R3)	TAS1R3 T1R3 TR3
Q9NRE2	Teashirt homolog 2 (Ovarian cancer-related protein 10-2) (OVC10-2) (Zinc finger protein 218)	TSHZ2 C20orf17 TSH2 ZNF218
Q8WUA8	Tsukushin (Tsukushi) (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54)	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788
Q86UF1	Tetraspanin-33 (Tspan-33) (Penumbra) (hPen) (Proerythroblast new membrane)	TSPAN33 PEN
P16473	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	TSHR LGR3
O95859	Tetraspanin-12 (Tspan-12) (Tetraspan NET-2) (Transmembrane 4 superfamily member 12)	TSPAN12 NET2 TM4SF12 UNQ774/PRO1568
O95857	Tetraspanin-13 (Tspan-13) (Tetraspan NET-6) (Transmembrane 4 superfamily member 13)	TSPAN13 NET6 TM4SF13 UNQ260/PRO296
Q8NG11	Tetraspanin-14 (Tspan-14) (DC-TM4F2) (Transmembrane 4 superfamily member 14)	TSPAN14 TM4SF14
P19075	Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029)	TSPAN8 TM4SF3
O95858	Tetraspanin-15 (Tspan-15) (Tetraspan NET-7) (Transmembrane 4 superfamily member 15)	TSPAN15 NET7 TM4SF15 UNQ677/PRO1311
A6NKD2	Testis-specific Y-encoded protein 2 (Testis-specific Y-encoded protein Q1)	TSPY2 TSPYQ1
P0CV99	Testis-specific Y-encoded protein 4	TSPY4
P0CW01	Testis-specific Y-encoded protein 10	TSPY10
P07996	Thrombospondin-1 (Glycoprotein G)	THBS1 TSP TSP1
Q9BXA7	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81
Q9UJ04	Testis-specific Y-encoded-like protein 4 (TSPY-like protein 4)	TSPYL4 KIAA0721
Q8NDW8	Tetratricopeptide repeat protein 21A (TPR repeat protein 21A) (Stress-inducible protein 2)	TTC21A STI2
Q9BXA6	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82
Q9NQE7	Thymus-specific serine protease (EC 3.4.-.-) (Serine protease 16)	PRSS16 TSSP
H0UI37	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 (Rhodanese domain-containing protein 3)	TSTD3
Q9H489	Putative testis-specific Y-encoded-like protein 3 (TSPY-like protein 3) (Testis-specific Y-encoded protein 26 pseudogene)	TSPY26P TSPYL3
Q8N0Z6	Tetratricopeptide repeat protein 5 (TPR repeat protein 5) (Stress-responsive activator of p300) (Strap)	TTC5
Q86TZ1	Tetratricopeptide repeat protein 6 (TPR repeat protein 6)	TTC6 C14orf25 NCRNA00291
Q6PID6	Tetratricopeptide repeat protein 33 (TPR repeat protein 33) (Osmosis-responsive factor)	TTC33
Q13454	Tumor suppressor candidate 3 (Magnesium uptake/transporter TUSC3) (Protein N33)	TUSC3 N33
P0DPF4	T cell receptor alpha variable 35	TRAV35
A0A0K0K1A3	T cell receptor beta variable 10-1	TRBV10-1
A6NH52	Golgi apparatus membrane protein TVP23 homolog A	TVP23A FAM18A
A0A584	T cell receptor beta variable 11-2	TRBV11-2 TCRBV21S3A2N2T
P01733	T cell receptor beta variable 12-3 (T-cell receptor beta chain V region YT35)	TRBV12-3 TCRBV12S3 TCRBV8S1
A0A0B4J241	T cell receptor alpha variable 13-1	TRAV13-1
A0A0B4J235	T cell receptor alpha variable 13-2	TRAV13-2
A0A0B4J238	T cell receptor alpha variable 1-2	TRAV1-2
A0A0B4J275	T cell receptor alpha variable 17	TRAV17
A0A075B6N1	T cell receptor beta variable 19	TRBV19
A0A0B4J279	T cell receptor alpha variable 21	TRAV21
Q9BY14	Testis-expressed protein 101 (Cell surface receptor NYD-SP8) (Scleroderma-associated autoantigen) (Spermatogenesis-related gene protein)	TEX101 SGRG UNQ867/PRO1884
A0A577	T cell receptor beta variable 4-1	TRBV4-1 TCRBV7S1A1N2T
P07101	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	TH TYH
P29597	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2
Q8TAI1	TYMS opposite strand protein	TYMSOS C18orf56
O43914	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	TYROBP DAP12 KARAP
P14679	Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol monooxygenase) (SK29-AB) (Tumor rejection antigen AB)	TYR
Q6IPR3	tRNA wybutosine-synthesizing protein 3 homolog (tRNA-yW-synthesizing protein 3) (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase)	TYW3 C1orf171
Q7RTZ2	Ubiquitin carboxyl-terminal hydrolase 17-like protein 1 (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 1) (Ubiquitin thioesterase 17-like protein 1) (Ubiquitin-specific-processing protease 17-like protein 1)	USP17L1 USP17L USP17L1P
Q6R6M4	Ubiquitin carboxyl-terminal hydrolase 17 (USP17) (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 2) (Deubiquitinating protein 3) (DUB-3) (Ubiquitin carboxyl-terminal hydrolase 17-like protein 2) (Ubiquitin thioesterase 17-like protein 2) (Ubiquitin-specific-processing protease 17-like protein 2)	USP17L2 DUB3 USP17 USP17H USP17I USP17J USP17K USP17L USP17M
C9JVI0	Ubiquitin carboxyl-terminal hydrolase 17-like protein 11 (EC 3.4.19.12)	USP17L11
D6R901	Ubiquitin carboxyl-terminal hydrolase 17-like protein 21 (EC 3.4.19.12)	USP17L21
Q0WX57	Ubiquitin carboxyl-terminal hydrolase 17-like protein 24 (EC 3.4.19.12) (Deubiquitinating enzyme 17) (Ubiquitin thioesterase 17) (Ubiquitin-specific-processing protease 17)	USP17L24 USP17 USP17H USP17I USP17J USP17K USP17L USP17M; USP17L25; USP17L26; USP17L27; USP17L28; USP17L29; USP17L30
Q5VV11	Putative UPF0633 protein ENSP00000303136	
Q9BZF9	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA KIAA1561
Q6XCG6	Putative uncharacterized protein PP632	PP632
Q9NRH1	Yae1 domain-containing protein 1	YAE1D1 C7orf36 GK003
Q6UY13	Putative uncharacterized protein UNQ5830/PRO19650/PRO19816	UNQ5830/PRO19650/PRO19816
Q8N2B8	Putative uncharacterized protein FLJ33534	
P58557	Endoribonuclease YbeY (EC 3.1.-.-)	YBEY C21orf57
A6NC05	Glutaredoxin-like protein C5orf63	C5orf63
P55060	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L CAS XPO2
O43542	DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3)	XRCC3
Q13426	DNA repair protein XRCC4 (X-ray repair cross-complementing protein 4)	XRCC4
Q8IZH2	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	XRN1 SEP1
P38606	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 3.6.3.14) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2
Q7Z7G8	Vacuolar protein sorting-associated protein 13B (Cohen syndrome protein 1)	VPS13B CHS1 COH1 KIAA0532
Q7Z5H5	Vomeronasal type-1 receptor 4 (G-protein coupled receptor GPCR27) (hGPCR27) (V1r-like receptor 4)	VN1R4 V1RL4
O75436	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26
Q86XT2	Vacuolar protein sorting-associated protein 37D (ESCRT-I complex subunit VPS37D) (Williams-Beuren syndrome chromosomal region 24 protein)	VPS37D WBSCR24
Q86Y07	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2
Q96JG6	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)	VPS50 CCDC132 KIAA1861
Q64LD2	WD repeat-containing protein 25	WDR25 C14orf67
O43379	WD repeat-containing protein 62	WDR62 C19orf14
Q9NNW5	WD repeat-containing protein 6	WDR6
Q96FK6	WD repeat-containing protein 89	WDR89 C14orf150 MSTP050
Q8IUB3	Protein WFDC10B	WFDC10B WAP12
Q96NZ8	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 (Growth and differentiation factor-associated serum protein 2) (GASP-2) (hGASP-2) (WAP, follistatin, immunoglobulin, Kunitz and NTR domain-containing protein)	WFIKKN1 C16orf12 GASP2 WFIKKN PSEC0040
Q8IUB2	WAP four-disulfide core domain protein 3 (Putative protease inhibitor WAP14)	WFDC3 WAP14
Q9P202	Whirlin (Autosomal recessive deafness type 31 protein)	WHRN DFNB31 KIAA1526
Q8TF74	WAS/WASL-interacting protein family member 2 (WASP-interacting protein-related protein) (WIP- and CR16-homologous protein) (WIP-related protein)	WIPF2 WICH WIRE PP10631
O76076	WNT1-inducible-signaling pathway protein 2 (WISP-2) (CCN family member 5) (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58)	WISP2 CCN5 CT58 CTGFL UNQ228/PRO261
O95389	WNT1-inducible-signaling pathway protein 3 (WISP-3) (CCN family member 6)	WISP3 CCN6 UNQ462/PRO790/PRO956
Q9Y3S1	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13
A6NIX2	Wilms tumor protein 1-interacting protein (WT1-interacting protein)	WTIP
P78423	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]	CX3CL1 FKN NTT SCYD1 A-152E5.2
P17861	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	XBP1 TREB5 XBP2
P47989	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	XDH XDHA
Q9UBD3	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	XCL2 SCYC2
Q702N8	Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1)	XIRP1 CMYA1 XIN
Q96QU8	Exportin-6 (Exp6) (Ran-binding protein 20)	XPO6 KIAA0370 RANBP20
O75191	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	XYLB
Q8N0U8	Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)	VKORC1L1
Q7Z5L0	Vitelline membrane outer layer protein 1 homolog	VMO1 UNQ6350/PRO21055
P54219	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1
Q05940	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2
Q709C8	Vacuolar protein sorting-associated protein 13C	VPS13C KIAA1421
P63123	Endogenous retrovirus group K member 18 Pro protein (HERV-K(C1a) Pro protein) (HERV-K110 Pro protein) (HERV-K18 Pro protein) (HERV-K_1q23.3 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-18
P63129	Endogenous retrovirus group K member 24 Pro protein (HERV-K101 envelope protein) (HERV-K_22q11.21 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-24
Q9Y487	V-type proton ATPase 116 kDa subunit a isoform 2 (V-ATPase 116 kDa isoform a2) (Lysosomal H(+)-transporting ATPase V0 subunit a2) (TJ6) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2)	ATP6V0A2
P63122	Endogenous retrovirus group K member 8 Pro protein (HERV-K115 Pro protein) (HERV-K_8p23.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-8
P63127	Endogenous retrovirus group K member 9 Pro protein (HERV-K(C6) Pro protein) (HERV-K109 Pro protein) (HERV-K_6q14.1 provirus ancestral Pro protein) (EC 3.4.23.50) (Protease) (Proteinase) (PR)	ERVK-9
Q9UBQ0	Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29)	VPS29 DC15 DC7 MDS007
Q9BRG1	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	VPS25 DERP9 EAP20
Q96QK1	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141
Q8IV63	Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)	VRK3
